/HPS/EgoSyn/work/anaconda3/envs/egofullbody/lib/python3.9/site-packages/mmcv/__init__.py:20: UserWarning: On January 1, 2023, MMCV will release v2.0.0, in which it will remove components related to the training process and add a data transformation module. In addition, it will rename the package names mmcv to mmcv-lite and mmcv-full to mmcv. See https://github.com/open-mmlab/mmcv/blob/master/docs/en/compatibility.md for more details.
  warnings.warn(
2023-08-22 16:41:26.200 | INFO     | human_body_prior.tools.model_loader:load_model:100 - Loaded model in eval mode with trained weights: /CT/EgoMocap/work/EgocentricFullBody/3rdparty/human_body_prior/support_data/downloads/V02_05/snapshots/V02_05_epoch=13_val_loss=0.03.ckpt
it 84 -- [total loss = 9.28e+02] - data = 9.24e+02 | poZ_body = 2.96e-03 | betas = 3.26e+00
it 85 -- [total loss = 9.02e+02] - data = 8.98e+02 | poZ_body = 2.63e-03 | betas = 3.68e+00
it 86 -- [total loss = 8.93e+02] - data = 8.89e+02 | poZ_body = 2.56e-03 | betas = 3.92e+00
it 87 -- [total loss = 8.59e+02] - data = 8.55e+02 | poZ_body = 2.49e-03 | betas = 4.25e+00
it 88 -- [total loss = 8.42e+02] - data = 8.38e+02 | poZ_body = 2.53e-03 | betas = 3.90e+00
it 89 -- [total loss = 8.57e+02] - data = 8.52e+02 | poZ_body = 2.44e-03 | betas = 4.86e+00
it 90 -- [total loss = 8.14e+02] - data = 8.10e+02 | poZ_body = 2.45e-03 | betas = 4.35e+00
it 91 -- [total loss = 8.20e+02] - data = 8.16e+02 | poZ_body = 2.46e-03 | betas = 4.23e+00
it 92 -- [total loss = 7.99e+02] - data = 7.94e+02 | poZ_body = 2.46e-03 | betas = 4.30e+00
it 93 -- [total loss = 7.72e+02] - data = 7.68e+02 | poZ_body = 2.40e-03 | betas = 4.69e+00
it 94 -- [total loss = 1.25e+03] - data = 1.25e+03 | poZ_body = 2.39e-03 | betas = 4.20e+00
it 95 -- [total loss = 7.54e+02] - data = 7.49e+02 | poZ_body = 2.39e-03 | betas = 4.60e+00
it 96 -- [total loss = 7.31e+02] - data = 7.26e+02 | poZ_body = 2.37e-03 | betas = 4.60e+00
it 97 -- [total loss = 7.03e+02] - data = 6.99e+02 | poZ_body = 2.35e-03 | betas = 4.64e+00
it 98 -- [total loss = 6.84e+02] - data = 6.79e+02 | poZ_body = 2.33e-03 | betas = 4.66e+00
it 99 -- [total loss = 6.77e+02] - data = 6.72e+02 | poZ_body = 2.29e-03 | betas = 4.35e+00
it 100 -- [total loss = 6.78e+02] - data = 6.73e+02 | poZ_body = 2.31e-03 | betas = 4.79e+00
it 101 -- [total loss = 6.50e+02] - data = 6.45e+02 | poZ_body = 2.30e-03 | betas = 4.57e+00
it 102 -- [total loss = 6.69e+02] - data = 6.64e+02 | poZ_body = 2.29e-03 | betas = 4.44e+00
it 103 -- [total loss = 6.43e+02] - data = 6.38e+02 | poZ_body = 2.29e-03 | betas = 4.52e+00
it 104 -- [total loss = 6.30e+02] - data = 6.25e+02 | poZ_body = 2.28e-03 | betas = 4.59e+00
it 105 -- [total loss = 6.39e+02] - data = 6.35e+02 | poZ_body = 2.24e-03 | betas = 4.40e+00
it 106 -- [total loss = 6.17e+02] - data = 6.12e+02 | poZ_body = 2.26e-03 | betas = 4.51e+00
it 107 -- [total loss = 5.96e+02] - data = 5.91e+02 | poZ_body = 2.24e-03 | betas = 4.50e+00
it 108 -- [total loss = 5.71e+02] - data = 5.67e+02 | poZ_body = 2.23e-03 | betas = 4.62e+00
it 109 -- [total loss = 5.57e+02] - data = 5.52e+02 | poZ_body = 2.24e-03 | betas = 4.68e+00
it 110 -- [total loss = 5.43e+02] - data = 5.38e+02 | poZ_body = 2.22e-03 | betas = 4.61e+00
it 111 -- [total loss = 5.32e+02] - data = 5.28e+02 | poZ_body = 2.25e-03 | betas = 4.73e+00
it 112 -- [total loss = 5.24e+02] - data = 5.19e+02 | poZ_body = 2.22e-03 | betas = 4.62e+00
it 113 -- [total loss = 5.13e+02] - data = 5.08e+02 | poZ_body = 2.25e-03 | betas = 4.73e+00
it 114 -- [total loss = 5.02e+02] - data = 4.98e+02 | poZ_body = 2.24e-03 | betas = 4.73e+00
it 115 -- [total loss = 4.85e+02] - data = 4.81e+02 | poZ_body = 2.25e-03 | betas = 4.73e+00
it 116 -- [total loss = 4.73e+02] - data = 4.68e+02 | poZ_body = 2.26e-03 | betas = 4.77e+00
it 117 -- [total loss = 4.60e+02] - data = 4.55e+02 | poZ_body = 2.29e-03 | betas = 4.77e+00
it 118 -- [total loss = 4.83e+02] - data = 4.79e+02 | poZ_body = 2.31e-03 | betas = 4.74e+00
it 119 -- [total loss = 4.52e+02] - data = 4.48e+02 | poZ_body = 2.29e-03 | betas = 4.76e+00
